seller,kind,name,species,quality,thickness,width,length,price,area_m2,price_per_m2
drevoma.sk,Plywood,Preglejka stolárska Buk 18x1250x2500 mm BB/CP,Beech,BB/CP,18,1250,2500,3079.125,3.125,985.32
drevoma.sk,Plywood,Preglejka vodovzdorná / protišmyková Breza 12x1500x3000 mm,Birch,,12,1500,3000,3468.906,4.5,770.868
drevoma.sk,Plywood,Preglejka stolárska Breza vodovzdorne lepená 9x1250x2500 mm BB/CP,Birch,BB/CP,9,1250,2500,1539.5625,3.125,492.66
drevoma.sk,Plywood,Preglejka vodovzdorná / hladká Topoľ 18x1250x2500mm,Poplar,,18,1250,2500,2354.625,3.125,753.48
drevoma.sk,Plywood,Preglejka vodovzdorná / protišmyková Breza 24x1250x2500 mm,Birch,,24,1250,2500,4229.3896,3.125,1353.4047
drevoma.sk,Plywood,Preglejka stolárska Breza vodovzdorne lepená 18x1250x2500 mm CP/C,Birch,CP/C,18,1250,2500,2531.1614,3.125,809.9716
drevoma.sk,Plywood,Preglejka stolárska Breza 8x1525x1525 mm BB/BB,Birch,BB/BB,8,1525,1525,1085.0594,2.325625,466.56683
drevoma.sk,Plywood,Preglejka stolárska Breza vodovzdorne lepená 15x1220x2500 mm BB/BB,Birch,BB/BB,15,1220,2500,2165.5305,3.05,710.01
drevoma.sk,Plywood,Preglejka stolárska Topoľ  4x1220x2520 mm AB/BB,Poplar,AB/BB,4,1220,2520,975.9015,3.0744002,317.42825
drevoma.sk,Plywood,Preglejka stolárska Topoľ  3x1220x2520 mm AB/BB,Poplar,AB/BB,3,1220,2520,775.9395,3.0744002,252.38728
drevoma.sk,Plywood,"Preglejka stolárska Buk 3,5x1250x2500 mm BB/CP",Beech,BB/CP,5,1250,2500,955.374,3.125,305.7197
drevoma.sk,Plywood,Preglejka stolárska Buk/Eukalyptus 8x1250x2500 mm B/BB,Buk/Eukalyptus,B/BB,8,1250,2500,1005.3645,3.125,321.71664
drevoma.sk,Plywood,Preglejka stolárska Breza vodovzdorne lepená 21x1250x2500 mm BB/CP,Birch,BB/CP,21,1250,2500,3595.4521,3.125,1150.5447
drevoma.sk,Plywood,Preglejka stolárska Breza vodovzdorne lepená 15x1250x2500 mm BB/CP,Birch,BB/CP,15,1250,2500,2400.0269,3.125,768.0086
drevoma.sk,Plywood,Preglejka vodovzdorná / hladká Topoľ 15x1250x2500mm,Poplar,,15,1250,2500,1992.375,3.125,637.56
drevoma.sk,Plywood,Preglejka vodovzdorná / protišmyková Breza 30x1500x3000mm,Birch,,30,1500,3000,8215.83,4.5,1825.74
drevoma.sk,Plywood,Preglejka stolárska Breza 4x1525x1525 mm B/BB,Birch,B/BB,4,1525,1525,775.21497,2.325625,333.33618
drevoma.sk,Plywood,Preglejka vodovzdorná / protišmyková Breza 18x1250x2500 mm,Birch,,18,1250,2500,3015.8518,3.125,965.0726
drevoma.sk,Plywood,Preglejka Ceiba flexi 7x1220x2500 mm,flexi,,7,1220,2500,1169.5845,3.05,383.47034
drevoma.sk,Plywood,"Preglejka stolárska Breza vodovzdorne lepená 6,5x1250x2500 mm BB/CP",Birch,BB/CP,5,1250,2500,1195.4249,3.125,382.53598
drevoma.sk,Plywood,Preglejka vodovzdorná / protišmyková Topoľ 12x1250x2500 mm,Poplar,,12,1250,2500,1910.9894,3.125,611.5166
drevoma.sk,Plywood,Preglejka vodovzdorná / protišmyková Topoľ 18x1250x2500 mm,Poplar,,18,1250,2500,2439.15,3.125,780.52795
drevoma.sk,Plywood,Preglejka stolárska Buk 5x1250x2500 mm BB/CP,Beech,BB/CP,5,1250,2500,1027.824,3.125,328.9037
drevoma.sk,Plywood,Preglejka stolárska Buk/Eukalyptus 4x1250x2500 mm B/BB,Buk/Eukalyptus,B/BB,4,1250,2500,679.3395,3.125,217.38863
drevoma.sk,Plywood,Preglejka stolárska Buk 4x1250x2500 mm BB/CP,Beech,BB/CP,4,1250,2500,996.1875,3.125,318.78
